2022/08/08 22:46:59 product.go:72: get product detail redisCache failed , getting data from database 
2022/08/08 22:53:26 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/09 00:01:31 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/09 00:05:16 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/09 00:05:32 product.go:127: get product cache failed , getting data from database 
2022/08/09 00:06:01 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/09 00:06:18 product.go:127: get product cache failed , getting data from database 
2022/08/09 00:24:38 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/09 00:24:50 product.go:74: get product cache failed , getting data from database 
2022/08/09 00:25:13 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/09 00:25:36 product.go:74: get product cache failed , getting data from database 
2022/08/09 00:25:53 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/09 00:26:16 product.go:74: get product cache failed , getting data from database 
2022/08/10 20:23:48 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/10 20:23:55 product.go:128: get product cache failed , getting data from database 
2022/08/10 20:24:50 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/10 20:25:59 product.go:128: get product cache failed , getting data from database 
2022/08/10 20:52:56 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/10 20:53:08 product.go:167: get product comment cache failed , getting data from database 
2022/08/10 21:11:25 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/10 22:48:45 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/10 22:48:54 product.go:128: get product cache failed , getting data from database 
2022/08/10 22:49:12 product.go:128: get product cache failed , getting data from database 
2022/08/10 22:51:25 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/10 22:55:24 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/10 22:55:33 product.go:156: get product comment cache failed , getting data from database 
2022/08/11 10:45:45 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 10:48:48 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 10:48:57 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 10:49:57 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 10:54:42 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 10:55:19 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 10:58:16 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 10:59:46 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 11:01:28 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 11:01:48 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:02:55 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:02:55 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:02:55 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:02:55 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:02:55 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:04:40 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:07:13 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 11:07:18 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:09:49 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 11:09:56 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:10:23 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:10:26 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:10:26 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:10:26 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:10:26 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:10:26 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:12 main.go:168: Starting HTTP Server , Listening :8080 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:11:53 product.go:191: get product comment cache failed , getting data from database 
2022/08/11 11:55:42 main.go:168: Starting HTTP Server , Listening :8080 
